Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Dan Panorama Tel -Aviv,lodging,"Kaufmann St 10, Tel Aviv-Yafo, Israel",4.6,8726,32.0648873,34.7629581,,https://maps.google.com/maps/contrib/105258694133423280595,ChIJH4gUeJBMHRURABUBBY1jAY4
Herods Tel Aviv,lodging,"HaYarkon St 155, Tel Aviv-Yafo, 6345318, Israel",4.3,7657,32.0845413,34.7691574,,https://maps.google.com/maps/contrib/101880806172555203158,ChIJ27Xi8XlMHRURNXX823lUlBQ
Artist an Atlas Boutique Hotel,lodging,"Ben Yehuda St 35, Tel Aviv-Yafo, Israel",4.5,734,32.0771101,34.7679724,,https://maps.google.com/maps/contrib/108535774035410303206,ChIJR-_m1n1MHRURexcv2Kna2Bs
Embassy Hotel Tel Aviv - מלון אמבסי תל אביב,lodging,"Shalom Aleichem St 5, Tel Aviv-Yafo, 6380606, Israel",4.4,932,32.0764022,34.7673204,,https://maps.google.com/maps/contrib/103071292912422233975,ChIJy2FqlX1MHRUR2dqmFz4oEvs
Hotel Metropolitan Tel-Aviv,lodging,"Trumpeldor St 11, Tel Aviv-Yafo, Israel",4.1,2492,32.0755577,34.7674793,,https://maps.google.com/maps/contrib/118308363988684375088,ChIJa0GD931MHRURJOd0h3zU12s
"Crowne Plaza Tel Aviv Beach, an IHG Hotel",lodging,"HaYarkon St 145, Tel Aviv-Yafo, 6345313, Israel",4.1,3193,32.08388,34.768849,,https://maps.google.com/maps/contrib/109187560876496456556,ChIJtQQij3lMHRUR53cZbbSyAIk
Dan Tel Aviv Hotel,lodging,"HaYarkon St 99, Tel Aviv-Yafo, Israel",4.3,2646,32.0795895,34.7678729,,https://maps.google.com/maps/contrib/109621873117673430213,ChIJkx9UBXxMHRURbwCg4ixU1dA
"Crowne Plaza Tel Aviv City Center, an IHG Hotel",lodging,"Azrieli Center, 136, Menahem Begin Rd 5, Tel Aviv-Yafo, 6701104, Israel",4.5,1273,32.0742009,34.792168,,https://maps.google.com/maps/contrib/110492069857141395014,ChIJnco3Z5lLHRUR-xKJbFEJzHQ
Maxim Hotel Tel Aviv - מלון מקסים תל אביב,lodging,"HaYarkon St 86, Tel Aviv-Yafo, Israel",4.4,704,32.0776336,34.7675257,,https://maps.google.com/maps/contrib/116432149663877434486,ChIJXW8ByX1MHRURTCRvGlfDaQM
Margosa Hotel,lodging,"Avraham Even Shoshan St 1, Tel Aviv-Yafo, 6817696, Israel",4.7,1294,32.0509266,34.7537098,,https://maps.google.com/maps/contrib/113170857663886380455,ChIJ8egoP7hMHRURYty1NSS-9Oo
Fabric an Atlas Boutique Hotel,lodging,"Nahalat Binyamin St 28, Tel Aviv-Yafo, Israel",4.8,722,32.0657571,34.7705777,,https://maps.google.com/maps/contrib/111098371127065903605,ChIJixPDAuBNHRURcH7iuNFZ1lw
Poli House Tel Aviv Hotel by AFI Hotels,lodging,"Nahalat Binyamin St 1, Tel Aviv-Yafo, Israel",4.3,1232,32.0693168,34.7704658,,https://maps.google.com/maps/contrib/105414416661464481980,ChIJn15FYoFMHRURvrn40rtzygc
Hilton Tel Aviv,lodging,"HaYarkon St 205, Tel Aviv-Yafo, 6340506, Israel",4.4,5322,32.0891109,34.7709242,,https://maps.google.com/maps/contrib/116149343007112599009,ChIJTTKZgnZMHRURA7ZhchPQTdU
Ruby Hotel Tel Aviv,lodging,"Yehuda ha-Levi St 11, Tel Aviv-Yafo, 6513519, Israel",4.8,320,32.0613938,34.7687364,,https://maps.google.com/maps/contrib/115699041719042285607,ChIJA-5ux0tNHRUR-4x8BMlj41g
The Savoy Hotel Sea Side Tel-Aviv,lodging,"Ge'ula St 5, Tel Aviv-Yafo, Israel",4.4,472,32.072393,34.765199,,https://maps.google.com/maps/contrib/106944763051892865326,ChIJ__fqZ4ZMHRURDFU4RjWZrm8
Carlton,lodging,"Eliezer Peri St 10, Tel Aviv-Yafo, Israel",4.5,2084,32.08653,34.7695666,,https://maps.google.com/maps/contrib/113701502782705515995,ChIJEQS1HndMHRURU0QsYI5KxNg
Royal Beach Tel Aviv,lodging,"HaYarkon St 19, Tel Aviv-Yafo, Israel",4.4,3562,32.0704339,34.7646432,,https://maps.google.com/maps/contrib/106594675133268028255,ChIJsdI6x4VMHRURAg6jplKdaBs
BY14 TLV Hotel,lodging,"Ben Yehuda St 14, Tel Aviv-Yafo, Israel",4.2,826,32.07443130000001,34.7682201,,https://maps.google.com/maps/contrib/116593812129791296521,ChIJ2-_sTodMHRURJ2opgabcBwg
Sheraton Grand Tel Aviv,lodging,"HaYarkon St 115, Tel Aviv-Yafo, 63573, Israel",4.4,2231,32.0813441,34.7681592,,https://maps.google.com/maps/contrib/112896037744522598770,ChIJY8G233tMHRURBWCX7OaCsjk
Orchid Tel Aviv,lodging,"HaYarkon St 79, Tel Aviv-Yafo, 63432, Israel",4.0,1696,32.0772641,34.76698,,https://maps.google.com/maps/contrib/112158004857632266190,ChIJ9cUqun1MHRURoMLp5Wna0UY
